TS	Initial_Agreement	Final_Agreement	SD_Final_Agreement	DRSQ_Training	DRSQ_Test	M_coeff_a	SD_coeff_a	Low_coeff_a	High_coeff_a	M_coeff_b	SD_coeff_b	Low_coeff_b	High_coeff_b	M_coeff_c	SD_coeff_c	Low_coeff_c	High_coeff_c	M_coeff_d	SD_coeff_d	Low_coeff_d	High_coeff_d	M_coeff_e	SD_coeff_e	Low_coeff_e	High_coeff_e
Fri Jul  5 05:51:22 2019	3.683481844733083	3.9798314454543244	0.014364076505311386	7.074015084407084	8.205972169686888	-0.3255330227288945	0.021026723346514987	-0.3553519269361256	-0.28141793235784046	0.2548109276639493	0.021795883747829026	0.2342865068356592	0.29481075556651287	0.04313802607862238	0.0022413493795707595	0.03981337192014949	0.04701741385555273	1.4202090420695659	0.3708999905706176	0.9397238207137266	1.947039157238558	-0.00525063511039737	0.0022728020778628915	-0.008787477765583005	-0.0007985674261803931
Fri Jul  5 05:53:30 2019	4.16903893253188	4.531536556440605	0.02497631303326859	7.877626590730023	7.675033409913666	-0.31914779515213854	0.02159026824810612	-0.34890921267242725	-0.27532932960442263	0.2525384280172226	0.01754546694247787	0.2310861226261429	0.27927425991159577	0.04362588241910592	0.002221061925015169	0.040142822366133105	0.04801117546733386	1.4319606424208116	0.4230860090874292	0.7720241396951555	2.3378680157499647	-0.005344135165809677	0.0022191501869415478	-0.008956482087933489	-0.0014425915156620686
Fri Jul  5 05:55:31 2019	3.5976030408472495	4.107882005318997	0.026735075929245625	12.783782792450404	3.876459019269158	-0.3123541654597295	0.024280982474278862	-0.3485154908694009	-0.27532932960442263	0.25837475431251405	0.016710532234731297	0.23608008788444385	0.29377427702882225	0.04440469204345004	0.002721584880899591	0.040246092039915055	0.050421298063193905	1.4827264718599062	0.49898271704913644	0.645560898375316	2.3378680157499647	-0.005044554971044901	0.0025403408463239327	-0.008956482087933489	-0.0007304178827374688
Fri Jul  5 05:57:36 2019	3.8403332905778225	4.094358789280416	0.05031410964460744	6.523091682228883	9.359381301386728	-0.31188320385402724	0.02796075188152235	-0.3461432446850301	-0.27532932960442263	0.25421002378033797	0.018728970732790777	0.22586665176233717	0.2867547981272126	0.04488950375012992	0.0029126425001025206	0.04026100568384683	0.050421298063193905	1.5705082867601654	0.4720440324309275	0.7720241396951555	2.3142383294252635	-0.00500451017620954	0.0028791646338851722	-0.009003507957460542	-1.5830010383605098e-05
Fri Jul  5 05:59:34 2019	3.5583661895571908	3.9035969198497584	0.026176101297129953	8.722797450963672	6.7967718595548465	-0.3193464900839016	0.02890791562283302	-0.3553054251940619	-0.2717696661284485	0.25753824530970987	0.020255821684310754	0.22586665176233717	0.29040138123159576	0.04563743716675348	0.002852041931979755	0.04126902418089471	0.050421298063193905	1.5792244422889052	0.4130491782461186	1.0687787262702702	2.2795650207131164	-0.004732251603552212	0.00288351222316546	-0.009105228805284913	-0.00015639750821992357
Fri Jul  5 06:01:32 2019	3.5520809620844758	3.8578443926789032	0.021492642683871632	8.221878251169173	7.738144036528857	-0.33261373832112917	0.029407462014838376	-0.37587999294030755	-0.28092657278467575	0.25081007282821965	0.022632246572502013	0.21672361515340632	0.2891285893134671	0.045769948857612194	0.002653742875013181	0.04084425534754122	0.04939293132326279	1.5985961611727284	0.3715465345855351	1.1584677487379051	2.272381996868113	-0.004999834181317012	0.002705589304256893	-0.009186612488327823	-0.0006954237999745993
Fri Jul  5 06:03:35 2019	3.8374004711146794	4.119200477164181	0.020398631985603325	6.702082774503393	8.621560704458782	-0.3308418750488055	0.02736012365690771	-0.3740825895924487	-0.2993930393342491	0.2519826760928051	0.02358091729631017	0.21672361515340632	0.29040138123159576	0.045749705889291586	0.0026339734405711837	0.041098040666532484	0.04939293132326279	1.5796232505546794	0.3290122999663815	1.1586859145597654	2.107433163526302	-0.005584757765023668	0.0026389459762070507	-0.00936012545974593	-0.001281839267605939
Fri Jul  5 06:05:35 2019	3.8511442952714487	4.1173570060949745	0.041888221562594384	2.996031145511456	8.171375731704842	-0.33129918684587234	0.028118885377082337	-0.37587999294030755	-0.29493219966421763	0.23891685772005128	0.02667471808251552	0.20361277229211727	0.28186740371994	0.044959291117328215	0.002895916643236255	0.04012283425202072	0.048929642487942335	1.6027051885351675	0.3665115048438116	1.2824679901167553	2.1561987308312878	-0.005846418445696004	0.002594710781214475	-0.009621160748743574	-0.0009486354875698818
Fri Jul  5 06:07:40 2019	3.6446774879202084	3.896997388875527	0.021919704595309345	5.9009785401239885	8.863773242228111	-0.33429527820405147	0.02732611740484947	-0.3740825895924487	-0.29493219966421763	0.2488937683803804	0.031506561991806174	0.21350945529190038	0.30438722277293917	0.04409415537067513	0.0029323696701190408	0.04000621201655909	0.048929642487942335	1.5667465374281586	0.3970587664521703	0.909965368469243	2.2324304038524785	-0.005602406767052996	0.0028702986651946904	-0.009621160748743574	-0.0004655801392781031
Fri Jul  5 06:09:38 2019	3.157399681959924	3.4066583265196857	0.04060483536839223	7.213464239268109	8.019010431761721	-0.33562217190663257	0.026003127035258266	-0.3733910542329859	-0.2950012636700488	0.263306053823532	0.027613485107653764	0.22135166521625013	0.30438722277293917	0.043843723351335594	0.002682586090584963	0.04000621201655909	0.047886535682103736	1.4866384499523764	0.42504526091317374	0.8677760070303989	2.2324304038524785	-0.004839993298137997	0.002755738517322129	-0.0089186073806472	-3.482026509674021e-05
