intnum	sex	age	Zeitung_W1	TV_W1	Zeitung_W2	TV_W2	Zeitung_W3	TV_W3	Einstellung_W1	Einstellung_W2	Einstellung_W3	Einstellung_Pro1	Einstellung_Pro2	Einstellung_Pro3	Cert1	Cert2	Cert3	Media_Reliance	Disk_Reliance	dim_bildung	dim_x	dim_y	dim_lr	dim_spr
22871	2	49	13	6	6	32	2	30	3	5	5	-.632029070106069	-.600852519264453	-.993724381267173	.6	.8	.6	.666666666666667	.6	.6	6.08	2.62	0	1
22917	1	41	-99.99	2	 	 	 	 	10	 	 	1.00517461873769	 	 	1	 	 	.6	.4	.6	6.85333333333333	2.65333333333333	.4	1
22933	1	32	13	-99.99	-99.99	13	 	 	3	2	 	-1.00420066310603	-1.92038441282708	 	.6	.6	 	1	.333333333333333	1	6.82	2.48	-.2	1
22938	2	42	15	2	2	15	2	15	6	6	6	-.155907278466045	-.516503935962535	-.369113926165145	.8	.8	.6	.866666666666667	.866666666666667	1	6.9	2.39	-.4	1
22957	2	40	30	6	 	 	 	 	8	 	 	.0129990536147361	 	 	.6	 	 	.866666666666667	.2	.6	7.17	2.57	.6	1
22960	2	20	17	1	1	17	1	16	8	8	7	.180649745345146	-.185956139168883	.307365185876566	.8	.6	1	.533333333333333	.2	.8	6.79	2.68	-.4	1
22967	2	40	15	1	 	 	 	 	1	 	 	-1.00640505601684	 	 	1	 	 	1	.6	1	6.91	1.93	.2	1
22978	2	38	15	2	2	-99.99	2	-99.99	5	5	5	-.378297622235647	-.231112933848118	-.393254856424463	1	.6	1	.666666666666667	.2	.6	6.63	2.45	-.2	1
23043	1	47	20	2	2	20	2	20	3	7	4	.485473942928642	.203701166167562	.5311875025508	.6	.6	.8	.733333333333333	.2	1	6.17	2.17	0	1
23077	2	49	20	-99.99	-99.99	-99.99	-99.99	-99.99	10	10	5	.0161981027808192	.92454337247942	.146945589134637	1	1	.6	.4	.533333333333333	.6	6.28	1.9	0	1
23161	2	59	21	6	6	21	6	21	6	5	6	-.641661595876292	-.491179917003185	.188762419917082	.8	1	.6	.8	.8	.6	6.67	2.14	-1	1
23185	1	72	13	2	2	15	2	15	10	10	8	-.0524664345464099	.547142159648006	.661199932235686	.4	1	1	1	.3	.8	6.69	2.44	.8	1
23200	1	24	15	6	2	15	2	15	8	9	8	1.47085373338808	1.49550891042997	1.37886848909628	1	1	1	.466666666666667	.8	.6	6.91	2.48	.4	1
23204	1	65	20	1	1	20	1	-99.99	10	9	8	1.35414701995861	1.5507769419357	1.41150898268672	1	.8	1	.866666666666667	.4	.6	5.97	1.77	0	1
23219	2	44	13	2	2	13	 	 	7	10	 	.651577046865744	.404702030316952	 	1	.6	 	.8	.2	.6	6.94	2.28	0	1
23277	2	48	21	2	2	21	2	21	5	4	4	-.451373163139069	-1.27278407290784	-.922080161414064	1	.8	1	.733333333333333	.6	.8	6.55	2.23	-.4	1
